timestamp,open,high,low,close,volume
2025-05-01T00:00:00Z,100,101,99,100,1000
2025-05-01T01:00:00Z,100,107,99.5,106,1500
2025-05-01T02:00:00Z,106,106,99.5,100,1200
2025-05-02T23:00:00Z,100,100,91,92,1000
2025-05-03T00:00:00Z,92,92.5,89.5,90,1100
2025-05-03T01:00:00Z,90,90.2,89.2,89.5,900
2025-05-03T02:00:00Z,89.5,90,89.3,89.6,850
2025-05-04T22:00:00Z,89.6,92.5,89.5,92,1000
2025-05-04T23:00:00Z,92,92,89,89.5,1200
2025-05-05T00:00:00Z,89.5,89.8,89.1,89.4,800
2025-05-05T01:00:00Z,89.4,89.8,89.2,89.5,750
2025-05-05T02:00:00Z,89.5,89.9,89.3,89.6,700
